UserId,LoginCount,TotalTimeSpent,TotalSecondsSpent,ActivitiesCount,MeanLoginTime
314,0,0,0.0,0.0,0
315,1,0 days 00:01:34,94.0,11.0,0 days 15:16:39
316,0,0,0.0,0.0,0
317,0,0.0,0.0,0.0,
318,1,0 days 00:04:40,280.0,4.0,10 days 19:10:34
319,8,0 days 02:33:17,9197.0,145.0,1 days 09:42:07
320,1,0 days 00:08:15,495.0,24.0,11 days 01:43:17
321,0,0,0.0,0.0,0
322,0,0.0,0.0,0.0,
323,0,0,0.0,0.0,0
324,0,0,0.0,0.0,0
325,0,0,0.0,0.0,0
326,0,0,0.0,0.0,0
327,0,0,0.0,0.0,0
328,12,0 days 12:57:29,46649.0,553.0,1 days 05:51:38.833333
329,0,0,0.0,0.0,0
330,0,0.0,0.0,0.0,
331,6,0 days 07:51:48,28308.0,90.0,1 days 21:00:47.833333
332,1,0 days 02:22:05,8525.0,35.0,8 days 23:51:12
333,0,0.0,0.0,0.0,
334,6,0 days 00:18:08,1088.0,32.0,1 days 09:23:40.333333
335,0,0,0.0,0.0,0
336,0,0,0.0,0.0,0
337,0,0,0.0,0.0,0
338,0,0,0.0,0.0,0
339,1,0 days 00:12:47,767.0,21.0,7 days 01:13:36
340,4,0 days 09:45:03,35103.0,341.0,3 days 17:49:11.500000
341,0,0,0.0,0.0,0
342,1,0 days 00:00:00,0.0,1.0,0 days 10:28:58
343,4,0 days 02:33:22,9202.0,42.0,0 days 03:53:32
344,18,0 days 15:05:13,54313.0,489.0,0 days 19:51:00.277777
345,0,0,0.0,0.0,0
346,10,0 days 06:58:44,25124.0,209.0,1 days 08:33:27.800000
347,3,0 days 04:45:03,17103.0,317.0,4 days 09:55:42.666666
348,6,0 days 05:44:49,20689.0,253.0,0 days 14:07:29.333333
349,2,0 days 01:54:05,6845.0,150.0,0 days 15:10:19.500000
350,0,0,0.0,0.0,0
351,0,0,0.0,0.0,0
352,0,0,0.0,0.0,0
353,15,0 days 11:16:40,40600.0,284.0,0 days 23:01:29.400000
354,3,0 days 03:20:02,12002.0,75.0,3 days 07:40:59.333333
355,0,0,0.0,0.0,0
356,1,0 days 00:02:31,151.0,3.0,0 days 00:03:32
357,0,0.0,0.0,0.0,
358,0,0,0.0,0.0,0
359,2,0 days 00:13:24,804.0,31.0,5 days 10:22:53
360,0,0,0.0,0.0,0
361,4,0 days 00:15:06,906.0,112.0,2 days 17:45:33.250000
362,7,0 days 06:56:58,25018.0,211.0,2 days 02:16:44
363,12,0 days 07:48:45,28125.0,250.0,1 days 05:57:29.416666
364,0,0,0.0,0.0,0
365,0,0,0.0,0.0,0
366,0,0,0.0,0.0,0
367,2,0 days 00:26:24,1584.0,36.0,1 days 00:40:07.500000
368,0,0,0.0,0.0,0
369,25,0 days 18:51:04,67864.0,627.0,0 days 14:39:37.360000
370,0,0,0.0,0.0,0
371,0,0,0.0,0.0,0
372,3,0 days 03:57:35,14255.0,114.0,3 days 13:42:58.666666
